year,tagline
1946,  HIGHJACKERS With Hired GUNMEN Terrorize The WEST! (original poster)
1950,  IT'S WAR ON LAND GRABBERS (original ad - all caps) OUTLAW GOLD STRIKES! PIONEER RANGE WAR! OUTLAWS WAR ON WAGON TRAINS! Johnny's guns back the pioneers...in the heart of killer-country! MURDER Hides OuTlaw Gold Strike!...Killers rule homestead lands ...till Johnny's trigger starts talking! GOLD-FILLED HOMESTEAD LANDS HELD BY OUTLAW GUNS! Wild western thrills...as Johnny blasts killer-gangs to keep the covered wagons rolling!
2013,  The Road to Hell is paved with Good Intentions...
2008,  She has to pee. He won't pull over. This means war. Kinda.
2012,  The four letter words aren't the only loaded ones.
2008,  A story of the real Friday night lights Hands on a Hardbody meets Friday Night Lights
2011,"  Beer, weed, and slackers."
2012,  Six pence short for what?
2008,"  If You're Not Cheating, You're Not Trying Hard Enough Draw First, Ask Later (North American Release Tagline)"
1948,  Bullet-'N-Ballad Barrage!
1939,  Radio's famous Lonely Cowboy . . . now screen's latest western hero.
1973,  She Learned Everything The Hard Way
2010,  Best. Plan. Ever.
2000,  A poor woman's social charter to freedom
1999,"  Never Double Cross A Stranger In A XXX World! Born To Kill, Hope To Die!"
1994,  Nâ€°r gav du din pappa en fru sist?
1938,"  A picture to storm your heart and sweep your senses . . . Drama behind palace doors . . . Drama on the battlefield . . . A world of conflict and emotion, brought to you in a picture that for sheer beauty and magnitude stands alone! . . . Don't Miss It!"
2012,"  When there's a fortune involved, everyone goes a little crazy"
1994,  This is what happens to a young filmmaker who has seen perhaps too many old films...
2008,"  Bigger, not always better."
2009,"  An unconventional look at what could be the final frontier of civil rights, Sizism takes a comedic approach to unveiling the prejudices of society toward overweight people."
1980,  Third Degree Sexual Heat When She's HOT It Can Only... SIZZLE
2008,  A movie you'll feel passionate about (even if you don't know why)
2008,  Loneliness in mature age and trials to solve the problem.
2009,  Deck the rink with magic.
1992,  (V) Check out this fresh sound track while watching the top women skateboarders in Califotnia shred radical terrain in a realm formerly reserved for the boys club.
2009,  Shred for Mankind
2012,  Some Things You Can't Roll Away From.
2002,  (V) Pro Skaters & Porn Stars!
2007,"  (VG) Your Lines, Your Style"
1978,"  Love, laughter, good guys, bad guys and America's greatest skateboarders. The movie that defies gravity!"
2006,"  He swore he'd never dance like a man and skate at the same time, ever again, forever. He was dead wrong."
2010,  It was a time when life was easy...in a place they thought would never change.
2012,  Darkness falls on Denmark Darkness Falls On Denmark
2005,  (TV) A love like a prison is the only way to survive
2010,  Music like you ain't never seen before!
2009,  Skcubrat:(n.) one who is physically and emotionally addicted to Starbucks
2011,  The World's First Existential Dinosaur Drug Movie
1999,  In the middle of nowhere there is nowhere to hide
1991,  (VG) Get on target with Skeet Shot .
1993,  Earth is the final breeding ground. An environmental disaster with a name.
2005,  They're just out to have a bloody good time.
2002,"  Kilkenny City, Ireland. Nothing much happens. 5 guys. 5 girls. One weekend. Quite a few possibilities. Everyone knows everyone in Kilkenny. In one weekend, that's the making of a few stories. Why have a weekend you'll never forget when you could have one you'll hardly remember?"
2008,"  A pint, a skein and a pair of knitting needles."
2009,  (V) There's no sequel for you!
2004,  (TV) Some Myths Are Real.
2011,  Families in despair.
1997,"  (TV) Beneath the surface, nothing is what it seems."
2002,  Pencils. So many pencils...
2010,  Every blank page is a new beginning.
2008,  The indie version of Saturday Night Live and Mad TV
2011,"  On July 19, 2005 three friends went on a road trip. They never came back."
2006,  When even your own mind betrays you
1967,  (TV) Ajanvietettâ€° tunturilta ja juurelta
1966,  It's *Fun*... It's *Songs*... It's *Youth*... It's *Skiing*... It's *Loving*... HEAR these great songs: Don't Gamble With Love Ski Fever
1967,"  The First Feature Film Bringing to You the Fun, Color and Excitement of the World on Skis!"
2002,"  (VG) Create, manage and develop the ski resort of your dreams! Build and Manage Your Ski Resort"
1994,  The slopes are sizzling again! This time they go off piste!
1960,  They Turned a White Hell Red with Enemy Blood!
1968,  It takes two to skidoo.
2010,  Whatâ€°s your weapon? What's your weapon?
2007,  Everybody Wants to be Somebody
2008,  Frankie E. war trauma
2008,  an experimental film about coming out of fear.
2005,  A scar becomes part of the body; a film becomes a personal journal.
2008,  You'll Die Laughing...All Over Again! Wanna hear a Killer Joke...?
2005,  Sometimes people are more interesting when they're dead...
1987,  Big Movie. Big Production. Big Girls.
1978,"  A film about the violence of love! She was so young, but was she too young to become a..... Slave of Pleasure Slavery Was Never So Sweet!"
2004,  It's How You Start Your Day!
2009,  The worst first day. Maybe ever.
1978,"  Now, in the tradition of Roots and Mandingo the true brutal story of the African slave trade!"
1969,  The tamings...The desires...The furies...of the Old South! See! Feel! Taste! The Bloody Whip of Truth! For the slave - courage knew no chains - For the master - desire knew no colour in the savage world of the Old South!
1937,  CAN THEY GET AWAY WITH IT! Peeping Through The Keyhole At Intimate Adventures Of Modern Unconventional Youth! SHALL MODERN YOUTH BE BRANDED WITH A SCARLET BLOT BY VICIOUS DEMONS OF LUST AND DESIRE...OR WILL SOCIAL JUSTICE TRIUMPH! CAN YOUTH BE PROTECTED AGAINST DEMONS OF LUST AND DESIRE! YOUTH ENSNARED IN A SCARLET WEB! YOUTH HAS IT FLING! A labyrinth of prostitution and lust! Society Beauties by Day! Party Girls by Night!
1999,  They came to conquer. They stayed to serve coffee. Fresh out of college. You want to be a player. You've seen too many movies.
1999,  (V) You may laugh and cry until you die! Not allowed on the networks!
2005,"  (V) In this horror land you'll see, nothing at all is what it appears to be."
2013,  The Ax Man cometh.
1983,  Welcome To Your Funeral!
1998,  God bless America...they're going to need it.
1982,  It ain't no Love Story
2005,"  From stripper to action star. Meet America's newest hero! He wanted to see the bright lights of Broadway, so he packed his bags and moved to Hollywood. America Needed a Hero. Fortune. Fame. Frank."
1983,  (V) Flesh tears - Bones shatter - The nightmare has begun
2008,  A story about a remarkable team ... and even more remarkable men.
1996,  (TV) Catching a nap at work can be a real nightmare.
2001,  Who can you turn to when no-one can help?
2003,  It Takes Only the Slightest Thing to Push You out of the Light
2006,  A man's dreams are haunted by visions from his past and the personification of his fear.
2002,  What would you do if you lost someone who meant more to you than anything in the world? How would you stop yourself from falling apart?
2013,"  Everyone has their demons, some have more than others."
2012,  (V) Documentary on the shooting of Sleep tight
2007,  Answer the phone.
1994,  A romantic comedy brave enough to say those three magic words.
1948,  ...the most terrifying words a man ever whispered to a woman!
2013,  The Dreamer. The Survivor. He remembers how it used to be. / He remembers how it all fell apart.
2004,  Sleep-Paralysis:...Pray it doesn't visit you
1988,  ...and they thought it was just another ghost story! When you go camping just take the essentials
1989,  She's back to Slash last year's record.
2002,  (V) Don't fall asleep...You may never wake up!
2012,"  Twenty years ago, the terror began. Now, you must prepare yourself for the most shocking chapter of them all."
2005,  Family. Fate. Forgiveness.
1973,  A love story about two people who hate each other. 200 years in the future. Woody Allen takes a nostalgic look at the future
2005,  I hate dreaming about my everyday life.
2005,  I hate dreaming about my everyday life.
2007,  Wake up...
2008,  Simeon wakes up in a coma where his Id and Ego challenge one another for the fate of his consciousness.
2010,  An act of faith.
2010,  Who are we really?
2009,"  If you had a second chance at life, would you take it?"
1987,  An enchanting classical treat! A classical family treat!
2013,"  Every person has a beautiful essence that lies dormant, waiting to awaken..."
2012,  Cricket was the game of the fathers. Football is the game of the sons Two boys. One goal. A new dawn in football's last frontier
2010,  About the Other Woman...
1991,  (V) She knows your every secret.
2011,  Come sleep with him.
2003,  (V) Hell isn't a bad place ... if you own it.
2005,  Is our cultural upbringing and social demands blind and deaf to the innocent cries of its children?
2007,"  Andy thought if he fell asleep, he might finally fall in love. Sounds romantic, doesn't it?"
1993,"  What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
2011,  There is magic Heroes are ordinary people.
2004,  The rules are set. The game is on.
2010,  Sleep is not an option.
2009,"  In a city ruled by violence, only the strong survive."
2006,  (V) Easy to please!
2001,  Sluts & Losers... Aren't we all? Ever been too cool?
1997,  En film om livets stolpskott...
2007,  (V) I want a PHD...a Phat Hard Dick!
2009,  Goodbye and Blessings
2006,"  The rental car, it'll be a... Peugeot"
1965,"  The riotous fun of Thunderball , the Flint pictures, Casino Royale Mod, Merry Mayhem!"
1996,  A day in a life... of a smacker...
2002,  Pucker up...
2003,  A hot summers day at the beach has got a simple menu.
2005,"  Small and Deep, Love Stories is a interwoven visual poem about the joys and heartaches of falling in Love."
2003,"  A young couple finds a magical truth-telling coin which teaches them the future isn't about avoiding chances, it's about taking them. Life isn't about avoiding chances, it's about taking them."
2004,  (TV) Working mothers just took on a whole new meaning.
2008,  (TV) A dark tale of fear and love A dark tale of fear and love.
2006,  Some things are better left unsaid.
1997,  A story about a man who ran away from his problems.
2007,"  Complicated Elementary School Relationships abound in this tale of break-ups, heartache, and recess."
2007,  A friend is no farther than your refrigerator.
2008,  So you want to know about the sex...?
2008,  A divorced father comes upon a mysterious fiddle at the bus stop which gives him the ability to treasure the small things forgotten.
2000,  Explodes with big-time laughter. They took a bite out of crime.
2000,  When desire is not enough.
2007,  (V) 5 years in the lives of 3 adolescent girls in small towns in England
1979,  Their faces are clean... their minds are dirty... Thank God for Country Girls
2010,  A comedy...with a dark twist.
2004,  Sometimes it's hard to leave.
2008,  (TV) The story of the smallest town in America to have their own news station...and nothing to actually report on.
2011,  We're All Connected.
2002,  (TV) It's all true. It just hasn't happened yet.
2006,  Blood is thicker than water
1943,  NO PLACE LIKE THE COUNTRY... when you've been jilted by a red-head and are wanted by the police!
2009,  (V) Having A Baby Changes Everything!
1948,  Laughs by the Score! Hit Songs Galore!
2012,  Who wears the smarty pants?
1976,  (TV) 15 Lives Bound Forever in One Shattering Second ... The Most Awesome Automobile Accident Ever Filmed!
1938,  THE EYES OF SPIES ARE EVERWHERE!
1967,  Two Girls Go Stark Mod!
2011,  Syracuse's most intriguing and entertaining performer.
2009,  Run for your life...
2005,"  Based on 80,000 true stories. Celebrate the Incredible Strength of Humanity. A single choice... An incredible journey... And a selfless act... Will unite them and become a life-changing experience they will remember forever."
2005,"  Angered by the drug dealers plying their trade outside his flat, Dave Webster begins his own hidden surveillance operation."
2009,"  You can go a long way with a smile. But sometimes, you need to go farther."
2009,  Smile. You're dead. Point. Shoot. Die.
2010,  Not your normal trip to the dentists... A surprising tale with a quirky charm
2011,  (V) The only thing you need to connect...
2013,  Tick Tick Tick... Times Running Out
2007,  Friends are forever... at least until Saturday night
2009,"  Smile of April, it's five stories, fives lives, five destinies linked by this specific moment."
2010,  a man. a photo booth. infinite secrets.
2004,"  Don't drink the milk, and we can finally come into our own!"
2010,  A bad day never ends in a bad way.
2010,  One Small Shard of a Shattered Society
2012,  The New Face of Fear
1997,  Snow covers everything...except the truth
1942,"  HAVE A SEAT ON THE 50-YARD LINE...FOR THE THRILL-PACKED, REAL-LIFE DRAMA OF A GREAT ALL-AMERICAN! (original poster-all caps) See this triple-threat bolt of greased lightning hit a new high for red-blooded entertainment! (original poster) AMERICA'S FAVORITE FOOTBALL SON ROMPS TO TRIUMPH ON THE SCREEN! (original poster-all caps)"
1969,  The trouble with Smith was Indians... the trouble with Indians was not enough Smiths!
1982,  Who is this? She was a legend in her own mind.
2008,"  (V) Includes rare performances, live and studio recordings, exclusive interviews and much more!"
2005,  A love story about art.
2011,  Careful what you wish for
2005,  Take a trip down the road to Hell
2008,  Nothing is what it seems
1988,  A bizarre comedy about the death of civilisation as we know it. The world is a blazing atomic hell. Civilisation is dying in agony... What do you do? ...THROW A PARTY!
1995,  Where there's smoke... there's laughter! The most precious things are lighter than the air Five strangers. Four secrets. Three schemes. Two best friends. And one neighborhood hangout where the world still makes sense.
2000,  Chris finds a wild boy in the woods...
2011,  This is what happens when you do drugs.
2010,  An eye for an eye would make the whole world blind.
2010,"  Death of the slasher, birth of the basher!"
2010,  Child stolen in plain sight
2012,  (V) Ever have a great idea? Neither have these guys.
2010,  A hilarious tale from the front lines of the battle of the sexes.
2000,"  Stealin' Stones and Breakin' Bones Now you see it, now you don't! Stealing stones is hazardous."
1985,  Skull & bones on the high seas!
2007,  (V) Hot Clips From Over 25 of the Most Beautiful Women in the World!
2009,  Walk your heart out
1992,"  We could tell you what it's about. But then, of course, we'd have to kill you. To trust can be murder. A burglar, a spy, a fugitive, a delinquent, a hacker, and a piano teacher... and these are the good guys."
2007,  Will our hero have his Holiday cut short?
2010,"  Having not seen each other for months, Gloria and Harry meet. Will passion reignite? Or is this the end?"
1994,  (V) Watch porn's hottest stars hip-hop ... into bed.
2003,  A Roald Dahl story of a young boy and his dog forced to stay with his mean old aunt
2008,"  Home, TV, Hell"
2009,  Paul traumatizes himself and everyone around him as he contemplates his impending vasectomy.
1993,  One Shot. One Kill. No Exceptions.
2008,  Alain Rimbert
2004,  (V) He only needs one shot. Everyone is a target.
2007,  Terror wears pink.
1998,  Every city has one.
2011,"  He's so busy trying to save her, he doesn't realize she's saving him. He thought he was saving her, he had no idea she was saving him. Redemption's a beautiful thing. Sometimes loyalty can get you killed. They will always protect their own. For the biggest crime family, loyalty is above all. If you want to get out, you have to change the rules."
2013,  How far would you go to save your son?
2003,  (V) Choose your side...
2008,"  A bag of drugs is found in a seedy nightclub in downtown Birmingham, England."
2008,  (V) Live performance filmed in Brussels in 2005 with special guest appearance by The Game.
2006,  (VG) Beagle or Baron -- Who will rule the skies?
2005,  Wake Up!
2003,"  When Kofi and Dave discover that Connor has double-crossed them, the thin line between life and almost certain death turns out to be a dangling string of...snot!"
2010,"  The past is the future, an eternal present."
2010,  Two war correspondents. Only one comes back.
1998,  If only this day could last forever.
2005,  Battle & Snow.
2011,  Epidemiology begins.
2006,  When All You See Is The Mountain
2012,"  Snow Craft, The Search for Modern Primative Snowboarding"
2005,  When There's Snow More Room In Hell
1950,"  ACTION, DANGER IN THE FAR NORTH! (original ad - all caps) FANGS of FURY! Fighting dog vs. killer-wolf in the Northwest's wildest frontier saga! James Oliver Curwood's spine-tingling saga of the land of the killer-wolf! WILDES SAGE OF THE GREAT NORTHWEST FRONTIER! Fighting dog battles killer-wolf...as murder masks million-dollar pitchblende strike! RUTHLESS GANG AND KILLER-WOLF ON NORTHWEST TERROR RAMPAGE! A fortune at stake as Mountie & fighting dog defy the untamed fury of the last frozen frontier!"
1999,  First loves last. Forever. From the director of Shine
1983,  They'll melt your inhibitions!
2001,"  (TV) In a world filled with hatred, their only hope was magic. Believe and anything can happen."
2010,  It's not too late. Not yet.
1974,  The Snow Man Will Warm Your Heart
2009,"  You know it in your heart, it's possible"
2011,  (V) Frozen in the ice for thousands of years... the beast has finally awoken Everyone else is just CHUM!
2009,"  This Winter, Santa Shreds!"
2014,"  When it's dark enough, you can see the stars."
2012,  The Fairytale is Over
1961,  Rollicking Fun For Everyone! What sheer enchantment and delight for everyone -- everywhere! Once Upon a Wonderful Time!
1984,"  Snow, skis and sex - It's Porky's on the piste! [video cover] If they play it right, they're going to have the ski trip of a lifetime."
1977,  (TV) An unknown terror stalks a ski resort! The legendary creature is half man... half animal... and a cold blooded killer!
1996,  The path to higher education is all downhill!
2011,"  A girl unable to speak, a man unable to write a poem, a crisis line manager unable to help might find in the gloomiest of all places what they have been longing for-Hope and courage."
1958,  THE WILD WHITE STALLION (original print ad - all caps) Fire was his spirit; man was his foe.
2010,  Justice Evolves
2013,  AD 2031: the passengers in the train are the only survivors on Earth.
1996,  Gravity... It's the Same All Over the World! Extreme Action & Thrills!
1938,  Singin' Swingin' Arctic Antics!
2011,"  One guy, one girl, who cares?"
1976,"  A film that could only be made in South America, where life is CHEAP! The picture they said could NEVER be shown The Bloodiest thing that ever happened in front of a camera!!!"
2011,  (V) A crazed journey into a sicko's obsessive filmmaking
2008,  Money and Zombies Don't Mix...
2010,  (V) So sweet it hurts.
2009,  Based on true events
2007,"  It's not about the place, it's about the journey there"
2010,  Lil Big Crackerz puts the race back in racy.
2009,  homosexual
1941,  HERE IS THE PICTURE YOU WILL SEE WITH YOUR HEART! (original print ad - all caps) Two thrilling Romances in a story of high Adventure!
1961,  BAD GIRLS...and the not-so-bad...walking a tightrope of tension in a girls reformatory! Anything can set it off sky-high! Girls Caged Without Their Guys! So sensational you mustn't miss it!
2009,"  Do it for the weed, man."
1946,  They've got the World by the Heart! (original poster)
2003,  Meet Brian's Roommate Neil. Everyone Loves Neil. Just Ask Brian.
2003,  (V) Lights! Camera! Your Ass In My Face!
2003,  A businessman dreams of escaping his life
2008,"  Life as a hitman in Los Angeles, just ain't what it used to be!"
2009,  Somewhere between life and death lies something else...
2011,"  Perhaps if i had not so tightly clutched the rose, its thorns would not have pierced my flesh so deeply."
2009,  Maybe money does grow on trees.
1930,  Will Rogers seasick on a liner riding to hounds with an English lord as a stern parent as the not-so-stern parent enough laughs for a lifetime!
1924,  Don't Change Your Husbands When Crossing the Stream! See the Spectacular Biblical Sequence in Natural Colors!
2012,  COLLEGE... It's the most dangerous assignment of all. Meet the FBI's new secret weapon
1947,"  From the wonderful best-seller that was read by more than ten million people! (original poster) NOW it's on the screen! The inspiring story of a woman no man could ever know without yearning to love--or love, without learning to hate! (original poster) One of the screen's greatest dramas of love and human conflict (original poster) BY THE AUTHOR OF GOODBYE MR. CHIPS, - RANDOM HARVEST - LOST HORIZON (all original posters- all caps)"
2011,"  Following a post traumatic stress episode, Lisa tries to figure out who she is."
1940,"  THE BROWN BOMBER OF MIRTH IN A LAUGHING KNOCKOUT! (original poster) Take em off, Joe - WE KNOW YOU! (original lobby card)	BEAVER!!! - YOU LOSE...IT S JOE (original window-card) GET SET FOR JOE'S BIGGEST ROAR! (original three-sheet poster) DOUBLE JOES! DOUBLE LAUGHS! DOUBLE THRILLS! (original one-sheet poster) Don't Go Nuts Folks... You're Not Seeing Double... They're Both Joe!"
1942,  ZaSu Steps Out And The Underworld Steps In! (original print ad) Every day is April Fool's Day when the guys and dolls of gangland mistake Aunt Emma for a gun moll from Missouri! (original print ad)
1999,"  I don't make mistakes, I have happy accidents."
1999,  (TV) A life like NONE other but for ALL others.
2007,  College is Hell!
2004,  Life is nothing without a friend.
2005,  Sometimes you just have to take the plunge.
2000,  Tanpa keberanian mimpi tidak bermakna
2007,  ...life can be messy
2003,  He has committed an act he cannot reconcile A Southside Chicago man struggles to resolve the consequences of an irreconcilable act he has committed.
2011,  A Slice of Low Life
2009,"  Murder, tragedy, lust, suspicion, deceit, fornication..."
1991,  All that glitter... All that glamour... All that dirt. A Deliciously Malicious Comedy.
2008,  (V) Easy Steps to Making Your Own Favorite Moisturizing Soap
2004,  In the biggest city in the world.... there is no way out. A story like many others.... in a movie like not many others.
2009,"  To be in the world, melting loneliness."
2009,"  In war, some battles are fought in one room."
2012,  I really do hope you're happy though... in the end I mean.
1996,  Ã¸VenderÃŒas tu alma por una pasiÃ›n? Todos tenemos un perro... y un dueÃ’o. An innocent housewife... A secret coven... A deadly conclusion
2010,"  (V) Welcome to Alex, South Africa's most notorious township where soccer is lived, not played."
1999,  He's a goal crazy mutt with some winning moves and he's on his way to the championship! There may be 101 Dalmatians but there's only 1 Soccer Dog!
2008,  Don't let the minivan fool you!
2005,  Zombie Football!
2010,"  The Clive Barker story as told by his son, John Barker."
2002,  It's A Thought Which Kills.
2012,  Good friends are hard to find.
1998,  A Guidebook for Dating In The 90s
2009,  Kids play dirty...until someone gets hurt.
1989,"  In Beverly Hills, what you fear is only the beginning. If you don't belong, they'll eat you alive You are what They eat It is not what you think it is. It is a matter of good breeding. Really. It's all about fitting in."
1939,  She was killed 40 floors above Park Avenue! Can you solve the crime in the clouds? (original ad) MURDER! ROMANCE! INTRIGUE! PENTHOUSE SIREN DIES AS KILLER STRIKES 40 STORIES ABOVE PARK AVENUE (original poster-all caps) Hear VIRGINIA BRUCE as the beautiful torch singer in one of New York's most exclusive night life cafÃˆs! (original herald) NIGHT OVER MANHATTAN...and a killer strikes in a luxurious Park Avenue penthouse! (original poster) See how a society lawyer and a night club beauty find romance...as they crack the riddle of  the perfect alibi murder case ! (original Herald)
2004,"  Watch it the first time, and you'll love the fight sequence. Watch it the second time and you'll become intrigued. The third time, Sockbaby may become your new favorite download"
2010,  Where did my sock go?
2007,  Plug In... Get Off Chargez... DÃˆchargez Plug in.
2008,"  Two men, two pair of socks, one winer"
2011,"  No eyelids, no sleep."
2010,  (V) All Will Be Revealed.
2012,"  Keep telling yourself, it's only a sock! Its only a sock! The Hosiery Horror of the Atomic Age!"
2006,"  (VG) Wherever Freedom is Threatened, the SEALs are there."
2008,  The story of a young man and his meandering travels in the southwest.
2009,  Even the ass of a dog sees the light of day...
2010,"  Sodium will raise your blood pressure, but lead will kill you."
1962,  Twin Cities of SIN The cities that mocked the very name of God...The vengeance that tore the Earth asunder!
2000,  (V) A World Beyond Anything You've Ever Seen... [Canada]
2012,  The Dark Side of Gomorrah
2003,  (V) Patrick Collins loses his head!
2013,"  Your bros may have your back, but whose got your ass?"
1992,  How much are you willing to give of yourself for the sake of the whole?
2011,  3 guys. 12 minutes. 1 sofa.
2010,  Free to whoever can collect
2006,  A girl searching for her mother will find herself.
2006,  Some see things as they are and as why? Others dream things that never were and ask why not?
2013,  No one lives forever.
2008,  The last man on earth is just trying to make a few friends
1996,  With hope comes punishment.
2009,  Win by nonviolence; love prevails when we set aside our prejudice.
2012,"  When striking out in real life is inevitable, striking out on the diamond isn't an option."
2007,"  A romance, fragile and ephemeral, in a doll sized world."
2012,  (TV) Leave behind what stops you from being yourself. Begin a new life
1981,  A moonshine-swillin' romp in the swamp. The Soggy Bottom Gang's secret weapon... wait till you get wind of it! A wild and wacky romp in the swamp.
1956,"  SHE'LL ENSNARE YOU WITH HER KISSES...ENTRAP YOU IN HER CRIMES! (original print ad - all caps) IF BELLA LIKES YOU...YOU'RE IN, ...in for a lot of trouble!"
2007,  She brings out the worst in him
2003,  An Unadulterated Adult Adultery Comedy It's 8a.m.. Do you know where you were last night?
2005,"  Jim Ronan gave up hockey in order to find himself. Sojourn is a touching drama that stimulates a deep thought: Nowadays, where is the depth of emotion of the current generation? Could it be said that life or love are only a sojourn?"
2007,  How far would you go to find your destiny?
2008,  (V) Jim Ronan gave up hockey in order to find himself.
1987,  (VG) The strategy maze game.
2012,  When the black becomes the victim of the other colors
2013,  His journey begins at the end.
1996,  A love story for the young at heart.
1942,  Ett av Edvard Perssons allra hjâ€°rtligaste och roligaste lustspel.
1938,  Ett glatt sommarlustspel med sÃ‚ng och musik
2003,"  The story of a man, his grief and his guitar."
2008,  A mental institution patient relives the pains of her past as she seeks eternal Solace
2008,  How far will two people go to find solace?
2009,  Some Secrets Are Not Meant To Be Told
2013,"  Alone is sometimes best. Six people, three stories, one truth."
1956,  Ein heiterer Film aus der herrlichen Bergwelt
2008,  They dream of a life most of us take for granted
2012,  The brightest young minds in Alberta finding new avenues in solar living.
2013,  Bridging the gap between traditional Aboriginal home ownership and Western society.
2006,  (TV) Prepare for the Apocalypse...
2007,"  A group of people, from different walks of life are interrupted from their day-to-day life by their desires to make a difference."
1986,  Who will rule the future? Spectacular science-fiction/adventure on blazing skates!
2011,"  Immortality, a fate worse than death."
2002,  There are some places man is not ready to go How far will you go for a second chance?
2000,  93 million miles just got closer - here comes the Sun
2010,  A car with zero emission is not a dream. And this film is proof.
2003,  Betrayal! Murder! All in a Handy Leather Carrying Case!
2013,  A young man gets a second chance to learn the true meaning of success!
2009,  A glimpse into the world of sex trafficking in the United States
2010,  Sergeant Olsen escape from the enemy
1958,  Den nye danske film med humÂ¯r i geledderne
1959,  pÃ‚ muntre manÂ¯vrer med fuld musik
1998,"  Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight"
1998,  He who kills for his country is called...Soldier
2010,  What happens to a man who saw all his closest friends die in Iraq?
2013,  You always have a choice...but is the right one worth the cost?
2009,  A spiritual man explains the ritual he endures which includes staring into the sun on a weekly basis and sounding the rams horn
1930,"  BRASS BUTTONS, DASHING UNIFORMS AND PRETTY WOMEN! (original poster - all caps) FASCINATING ROMANTIC DRAMA OF MARINE LIFE IN HAITI! (original poster - all caps) THE STORY OF A WOMAN WHO STAKED HER LIFE ON THE GAME OF LOVE AND LOST! (original poster - all caps) A Fascinating Romantic DRAMA Adapted From the Great Stage Play! (original ad) Realistic love drama silhouetted against the vivid warmth of tropical Haiti !(original ad)"
2004,"  In 1970 when women weren't allowed to fight, six US female soldiers were mysteriously captured and held hostage in a Vietnamese barrack."
2007,  This country asked them to kill. Their hearts asked them to stop.
2012,  To stop the worst you have to send in the best.
1987,  Love and honor forged in war...
2008,  No boundaries. No Peace. Just War.
2013,  A Film About the World's Ultimate Paintball Game
2013,  Real heroes shall never be forgotten.
2004,  (VG) Against all odds a few good men will prevail
2006,  (V) 100% Pure Toe Jamming Fun!
2008,"  16 dancers, ages 5 to 68, dance one continuous rhythm that expresses their cultures."
2009,  From the rust and kudzu of South Carolina comes a real-life success story
2009,  Life's road has many turns while traffic is ceaselessly one-way
2006,  Does it matter which side you're on?
2009,  An astounding testament to the humanity that flows through every human being.
2002,"  Sometimes talking to yourself, is the best conversation you can have..."
2010,  Everyone is born an Artist the challenge is to remain an Artist once we grow up
2014,  Second movie of a trilogy
2000,  The ultimate ugly mus-tard experience.
2005,  Ever wish you never existed?
2003,  When you're alone you got no one to fear
2005,  (V) Life is about your game
2007,  Is Elliot Locke the very murderer he seeks?
2009,  The competition is deadly.
1995,  What would happen if your lover could read your mind?
2005,  A mother's struggle between ending the life she created or keeping her sanity.
2006,  A mother's struggle between ending the life she created or keeping her sanity.
2012,  Crazy Revenge
1998,  A guy cuts his own tongue for his love.
1978,  A love story of our time
1984,  A family film based on a true story about love and courage.
1996,  Part man. Part machine. Total weapon. Prepare to go Solo!
2004,  Roy wants a partner.
2007,  All his dreams came true... and a bit more...
2008,  An unusual journey to the roots of even a more unusual art
1998,  In der Liebe muï¬‚ man vertrauen.
2011,"  You didn't think that after giving you life, they wouldn't charge you for it somehow, did you?"
1994,  Behind every great man is his asshole.
1999,  Their tragedy was to fall in love.
1959,  Behold! The love story of the ages! Only once in 3000 years...anything like...
2008,  Nobody is Immune to Fear!
1990,  (VG) From Out of the Darkness...Shall Arise a Challenge To Your Wisdom
1994,"  For some people the coldest, loneliest night of the year falls on Christmas Eve."
2007,  High heels and big dreams
2008,  You can't bury the truth.
2013,  Everything Must Change
2013,"  A young boy faces the tragedy of loss through death, and chooses life."
2006,  To Run from One's Past is to Run from One's Self
1991,  (VG) The world of Great Fardraut saga absorbs you...
2010,  Sometimes when you almost understand...
2010,  Sometimes you just want to have sex. Or do you?
2010,"  Grativatios is no responsible for these two falling in love, their shadows are..."
2008,  An awkward blind date in a Mexican restaurant quickly takes a turn toward the absurd.
2008,  local art gallery exhibits more than just art when we delve into the relationships of all the attendees and the deep secrets of the gallery owner.
2009,  They don't teach failure in film school.
1999,  She's from Ireland. He's a native New Yorker. They have nothing in common except for being in love.
2011,"  Ken Boyd, a lonely man fresh out of the loony bin, sets out to kill those he deems responsible for his miserable life."
2009,  The grass is greener in the ghetto.
2003,  When good luck goes bad...
2012,  Three characters and the things that make them one.
1962,"  From the land of the Beatles, came the young rebels...wild and explosive..."
2005,  True love and real fangs are hard to come about
2003,  The Theatre of Ratan Thiyam
2004,  They say time heals wounds but Some Wounds fester
1956,  A Girl Can Lift A Fellow To The Skies! M.G.M presents a most important motion picture It's tougher than Blackboard Jungle!
2012,"  7 Friends, One Tape, No Witnesses"
2008,  Just when you have it all figured out...
2012,  (V) The inside of a moment.
2013,  Some rules are meant to be broken
2008,  Horror Has A New Face
2008,  It's surreal story about a girl who face a new reality after a tragic event
1952,  The Screen Discovers a NEW Romantic Team...
1991,  Some stones are better left unturned.
2009,  Let's get to that TV.
1979,  Love isn't blind... just a little nearsighted!
2012,  Something's coming...something sinister
1972,  These People Have Something in Common. They Have ... Something to Hide He walks on the edge of sanity. They have something to hide - have you?
